Material,Function,Project,BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA
CS-BT-077,API,COA,197,0.984,1.51,9.95,0.354,15.4,13.8,0.255,38.3,3.68,1.29,4.75,18.1,3.8,33.1,0.922,3.78,12.8,3.39,38,32.8
DIN-juyeol91-094,API,DIN,32.7,1.27,1.94,15.7,0.098,25.2,1.37,0.0403,60.9,2.46,1.41,6.18,22.4,3.63,40.9,0.936,4.17,14.7,3.53,41.7,42.2
21DT70-1,API,DIN,102,0.391,1.87,27,0.11,73.3,2.86,0.205,54.4,2.13,1.4,6.03,24.1,3.99,40.4,1.06,4.82,16.5,3.43,42.3,39.4
21ET70-1,API,EPI,215,1.07,1.99,13.2,0.287,23.1,8.47,0.286,27,5.31,1.95,7.36,18.9,2.57,34.2,1.71,5.98,14.7,2.46,30.4,18
Gemif_B200519031,API,Gemifloxacin,180,1.41,1.38,18.5,0.251,175,1,0.0582,52.2,10.4,2.51,11,23.2,2.1,41.1,0.633,3.23,15.7,4.87,47.2,37.8
Gemif_B210520041,API,Gemifloxacin,139,0.984,1.33,19.4,0.262,172,1.02,0.0558,53.2,13.4,2.31,9.6,20.9,2.18,38.6,1.35,6.21,14.4,2.32,43.1,35.2
Gemig_B201217124,API,Gemigliptin,241,0.966,1.14,4.84,0.507,6.26,42.7,0.273,6.52,0.938,0.477,1.74,15.6,8.96,32.6,0.143,0.515,9.63,18.7,31.8,21.7
Gemig_B201217128,API,Gemigliptin,208,0.929,1.16,4.78,0.488,5.55,62.8,0.294,5.93,0.887,0.699,2.45,15,6.12,30.6,0.304,1.1,9.29,8.43,32.2,24.5
Gemig_B201217125,API,Gemigliptin,266,1.03,1.22,4.83,0.521,5.77,47.2,0.218,5.32,0.674,0.937,3.13,15,4.8,28.1,0.541,1.93,10.1,5.22,31.4,16.4
Gemig_B210112096,API,Gemigliptin,254,1.05,0.938,5.53,0.526,4.71,68.7,0.389,5.88,1.55,0.0281,0.0976,13.3,137,30.2,0.165,0.576,9.56,16.6,30.3,25.1
Gemig_A211220029,API,Gemigliptin,253,0.909,1.28,5.87,0.538,14.4,12.5,0.31,8.62,1.63,0.51,2.09,17.6,8.43,38,0.106,0.425,10.3,24.3,36.8,13.2
Gemig_A211217014,API,Gemigliptin,244,0.909,1.27,5.56,0.503,4.05,59.2,0.255,8.45,1.02,0.144,0.527,14.4,27.4,32.9,0.214,0.766,9.69,12.6,31.6,12.9
Gemig_A211223004,API,Gemigliptin,223,1.18,1.28,5.82,0.526,8.18,19.8,0.274,10.8,1.39,1.22,4.75,18.4,3.86,35.8,0.248,0.921,9.64,10.5,33.3,13.8
Gemig_A211222018,API,Gemigliptin,176,0.888,1.35,6.35,0.483,17,10,0.33,11.6,3.16,0.429,1.58,14.9,9.45,32.9,0.544,1.94,10.3,5.29,31.5,13.8
Gemig_A211206027,API,Gemigliptin,228,0.804,1.35,5.98,0.526,11.7,20,0.313,8.52,1.6,0.105,0.421,15.9,37.7,36.9,0.165,0.653,10.6,16.2,36.3,6.17
Gemig_A211227003,API,Gemigliptin,212,0.953,1.26,5.12,0.51,5.79,56.8,0.327,6.85,1.28,0.143,0.524,14.4,27.4,32.9,0.0866,0.307,9.42,30.7,31.2,7.43
GPR-LSE-108,API,GPR,149,0.805,2.12,13.9,0.215,26.2,8.63,0.203,37.7,2.63,2.09,8.11,21.3,2.62,35.5,1.21,5.18,13.4,2.58,40.1,40.8
GPR-LSE-144,API,GPR,153,0.937,1.76,9.87,0.305,15.2,11.2,0.339,22.3,3.25,2.26,7.71,17.7,2.29,29.2,1.19,4.26,11.5,2.7,31.5,31.4
22GQ72-1,API,GPR,49.4,1.06,1.91,8.83,0.157,13.4,4.01,0.278,55.9,2.28,2.14,8.61,20.1,2.34,37.2,1.58,6.37,13.6,2.13,37.2,21
22GQ72-B,API,GPR,187,1.91,1.27,9.13,0.29,18.1,6.94,0.131,18,0.666,0.969,3.43,15.3,4.47,31.1,0.45,1.56,9.62,6.15,30.1,20.5
GQ72-bckim-160-14,API,GPR,159,0.805,1.19,5.66,0.304,37.8,3.97,0.0967,17.4,0.401,1.02,3.75,17.2,4.57,32.8,0.603,2.25,11.2,4.97,33.6,20.4
Ler_Y200226018,API,Lercanidipine,112,1.07,1.77,11.8,0.194,22.5,4.13,0.148,37.5,21.6,2.7,11.5,22.9,1.99,39.8,2.45,9.4,14.2,1.51,34.9,35.7
Ler_Y201124042,API,Lercanidipine,84.3,1.33,2.37,11.8,0.202,15,8.05,0.273,37.2,34.1,2.49,9.7,19.3,1.99,35.6,1.35,5.98,13.5,2.26,41.3,36
Ler_A210729008,API,Lercanidipine,136,1.19,1.8,11.6,0.221,26.3,4.41,0.136,36.8,29.4,2.49,11.1,22.2,2.01,41.4,1.52,6.37,12.9,2.02,39.1,30.1
Ler_Y210402006,API,Lercanidipine,121,1.15,2.33,10.6,0.214,44.5,2.48,0.144,37.6,30.3,2.47,10,20,2,37.5,1.85,7.55,13.3,1.76,37.9,21.9
Ler_A210924002,API,Lercanidipine,47.2,1.37,2.76,9.87,0.149,14.2,3.54,0.206,44.8,40.3,1.74,7.1,20.3,2.86,37.7,1.46,6.23,15.3,2.45,39.7,34.1
22LS70-1,API,LXL,112,0.483,2.69,11.8,0.338,9.09,9.58,0.441,19.9,18.6,2.55,8.73,18.8,2.15,29.5,1.48,5.19,13,2.51,30.8,36.3
23LS70-1,API,LXL,27.5,0.976,6.04,6.98,0.24,7.53,4.52,0.419,32.8,13,2.04,7.36,16.6,2.26,32,1.2,4.27,10.6,2.48,31.4,37.8
MCR-jinokham-081,API,MCR,244,0.98,1.22,7.16,0.369,6.61,55.5,0.222,10.5,0.662,0.679,2.4,15.6,6.5,31,0.481,1.69,10.3,6.08,30.8,30.4
19MC72-1,API,MCR,119,0.995,1.96,7.61,0.412,5.47,24.7,0.406,24,4.45,1.09,4.12,17.1,4.16,34.3,0.837,3.18,11.2,3.5,34.6,34.8
MCR004-jinokham-108,API,MCR,201,1.09,1.21,5.26,0.508,26.7,18.4,0.153,5.56,0.278,0.174,0.596,13.9,23.3,29.6,0.311,1.15,9.99,8.66,33.2,7.81
MCR004-jinokham-162,API,MCR,474,1.22,1.15,9.02,0.497,7.91,55,0.153,9.01,0.33,0.709,2.44,14.7,6.02,29.6,0.224,0.823,9.62,11.7,32.8,12.9
23MC72-1,API,MCR,225,1.09,1.33,5.61,0.49,6.66,38.4,0.14,14.6,0.512,0.464,1.64,13.9,8.47,31,0.372,1.35,9.47,7.03,32.2,23.6
23MC72-2,API,MCR,385,1.29,1.54,6.37,0.515,24.6,10.1,0.206,8.8,0.539,0.899,3.47,17.2,4.96,35.2,0.536,2.13,11.3,5.31,36.6,17.7
Met_Y201127004,API,Metformin,133,1.06,1.16,5.09,0.384,171,1.03,0.02,46.1,0.51,2.24,7.14,15,2.1,25.8,1.42,4.96,10.2,2.05,30.5,15.9
Met_Y201127011,API,Metformin,247,0.68,0.983,7.9,0.548,234,0.96,0.0574,37,0.617,1.67,5.97,15.8,2.65,31.7,1.51,4.82,10,2.07,26,8.98
Met_Y201127010,API,Metformin,180,0.856,1.11,6.09,0.585,162,1.16,0.0331,33.3,0.266,2.01,6.47,14.8,2.29,26.2,1.4,4.88,9.85,2.02,30.2,7.88
Met_Y201127008,API,Metformin,175,0.758,1.18,6.47,0.619,193,1.07,0.058,31.6,0.448,1.56,5.02,14.7,2.93,26.4,0.984,3.55,10.4,2.92,32,7.1
Met_Y201109027,API,Metformin,271,0.887,1.07,6.93,0.682,151,2.16,0.102,10.3,0.413,1.58,4.9,15.1,3.09,24.4,0.883,2.98,10.3,3.45,28.6,10.6
Met_Y201109028,API,Metformin,319,0.938,0.962,5.96,0.678,152,2.71,0.108,7.69,0.391,1.12,3.71,14.6,3.94,27.5,0.699,2.34,9.72,4.16,28.2,6.2
Met_Y201109026,API,Metformin,237,0.886,1.01,5.15,0.688,95.6,2.69,0.135,5.91,0.467,0.822,2.9,15.3,5.28,31,0.592,2.13,10.4,4.88,31.9,4.97
Met_A211109009,API,Metformin,235,1.01,1,5.12,0.611,117,1.71,0.057,22,0.707,1.32,4.64,16.9,3.64,30.8,0.947,3.27,10.8,3.32,29.8,5.58
Met_A211204008,API,Metformin,163,0.85,1.21,5.53,0.571,147,1.23,0.0664,26.3,0.572,1.19,4.05,14.4,3.55,29.3,1.14,3.87,10.1,2.6,28.9,6.66
Rosu_A211027004,API,Rosuvastatin,73.4,1.75,3.98,16.4,0.421,9.83,5.68,0.177,23.5,35,2.12,8.22,16.9,2.06,35.4,1.43,5.66,11.3,2,36.2,22.9
Rosu_A210826001,API,Rosuvastatin,72.2,1.74,3.67,16.1,0.442,9.21,4.27,0.216,22,40.2,1.35,4.83,15.3,3.16,31.6,1.31,4.95,11.1,2.23,34.3,33.8
TT-01025-CL,API,TTB,1635,1.35,1.06,12.5,0.75,1077,1.6,0.0962,3.71,0.187,0.655,2.66,18.2,6.82,37.6,0.446,1.91,12.6,6.57,40,15.5
21NT70-1_formB,API,TTB,64.5,1.01,3.27,10.4,0.375,6.27,9.68,0.362,28.8,11.8,1.14,4.4,17.6,4.01,35.1,0.579,2.45,12.2,4.98,39.4,25.7
Val_B201013042,API,Valsartan,401,1.39,1.33,7.02,0.604,21.9,23,0.288,6.68,1.79,1.51,5.63,20.1,3.58,33.4,0.901,3.96,15.2,3.84,41,18.3
Val_B201217126,API,Valsartan,293,0.819,1.25,6.44,0.57,16.2,26.1,0.248,5.4,1.04,0.244,0.939,16.8,17.9,35.1,0.063,0.256,11.8,46.2,37.5,9.83
Val_B201013041,API,Valsartan,298,0.968,1.06,6.93,0.585,20.8,19.6,0.273,6.61,1.36,0.836,3.1,17.5,5.66,33.3,0.617,2.53,13.3,5.24,38,8.25
GDB20001,API,XO,465,1.02,1.11,9.35,0.549,75.1,8.63,0.127,12.9,0.714,0.779,2.94,16.5,5.59,34.2,0.562,2.14,10.9,5.11,34.6,25.4
GDB20002,API,XO,533,1.08,1.08,8.85,0.537,47.4,10.7,0.141,11.9,0.723,0.666,2.58,16.7,6.48,35.4,0.544,2.12,11.1,5.24,35.7,8.46
GDB20003,API,XO,541,1.08,1.15,8.64,0.555,51.2,9.91,0.146,12,0.9,0.479,1.85,16.2,8.72,35.4,0.49,1.87,11.2,5.96,34.8,14.1
